"pair_id","item_type","target","frequency","correctAns","lex"
1,"word","APPLE","high","z","y"
1,"nonword","APPSE","high","m","n"
1,"word","ADDLE","low","z","y"
1,"nonword","ODDLE","low","m","n"
2,"word","BLOCK","high","z","y"
2,"nonword","QLOCK","high","m","n"
2,"word","FLOCK","low","z","y"
2,"nonword","YLOCK","low","m","n"
3,"word","SMILE","high","z","y"
3,"nonword","LMILE","high","m","n"
3,"word","SLIME","low","z","y"
3,"nonword","SLIMO","low","m","n"
4,"word","FIRE","high","z","y"
4,"nonword","FIDE","high","m","n"
4,"word","DIRE","low","z","y"
4,"nonword","DARE","low","m","n"
5,"word","COURSE","high","z","y"
5,"nonword","LOURSE","high","m","n"
5,"word","COARSE","low","z","y"
5,"nonword","COASSE","low","m","n"
6,"word","BRIGHT","high","z","y"
6,"nonword","BRIGZT","high","m","n"
6,"word","FRIGHT","low","z","y"
6,"nonword","FREGHT","low","m","n"
7,"word","HEARD","high","z","y"
7,"nonword","HOARD","high","m","n"
7,"word","BEARD","low","z","y"
7,"nonword","BEARN","low","m","n"
8,"word","GATE","high","z","y"
8,"nonword","FATE","high","m","n"
8,"word","GAIT","low","z","y"
8,"nonword","CAIT","low","m","n"
9,"word","SPEAK","high","z","y"
9,"nonword","SPOAK","high","m","n"
9,"word","SNEAK","low","z","y"
9,"nonword","WNEAK","low","m","n"
10,"word","BITTER","high","z","y"
10,"nonword","BITTET","high","m","n"
10,"word","BITTEN","low","z","y"
10,"nonword","BITTAN","low","m","n"
11,"word","HOLE","high","z","y"
11,"nonword","HOPE","high","m","n"
11,"word","DOLE","low","z","y"
11,"nonword","DOME","low","m","n"
12,"word","SAVE","high","z","y"
12,"nonword","SAVU","high","m","n"
12,"word","CAVE","low","z","y"
12,"nonword","CALE","low","m","n"
13,"word","BUY","high","z","y"
13,"nonword","SUY","high","m","n"
13,"word","BYE","low","z","y"
13,"nonword","BYI","low","m","n"
14,"word","BLOOD","high","z","y"
14,"nonword","BWOOD","high","m","n"
14,"word","BLOOM","low","z","y"
14,"nonword","QLOOM","low","m","n"
15,"word","SCALE","high","z","y"
15,"nonword","SWALE","high","m","n"
15,"word","SCALD","low","z","y"
15,"nonword","SCAXD","low","m","n"
16,"word","CAREER","high","z","y"
16,"nonword","CAKEER","high","m","n"
16,"word","CAREEN","low","z","y"
16,"nonword","CAZEEN","low","m","n"
17,"word","DRAWN","high","z","y"
17,"nonword","DRAWK","high","m","n"
17,"word","DROWN","low","z","y"
17,"nonword","DTOWN","low","m","n"
18,"word","TEAM","high","z","y"
18,"nonword","WEAM","high","m","n"
18,"word","TEEM","low","z","y"
18,"nonword","TEAM","low","m","n"
19,"word","HIDE","high","z","y"
19,"nonword","SIDE","high","m","n"
19,"word","TIDE","low","z","y"
19,"nonword","TIDI","low","m","n"
20,"word","STREAM","high","z","y"
20,"nonword","JTREAM","high","m","n"
20,"word","STREAK","low","z","y"
20,"nonword","SZREAK","low","m","n"
21,"word","MOUSE","high","z","y"
21,"nonword","MOOSE","high","m","n"
21,"word","MOOSE","low","z","y"
21,"nonword","YOOSE","low","m","n"
22,"word","GEAR","high","z","y"
22,"nonword","GEOR","high","m","n"
